target_id,gene,target_name,association_score
ENSG00000142192,APP,amyloid beta precursor protein,0.8722092478154398
ENSG00000080815,PSEN1,presenilin 1,0.8669875850999414
ENSG00000143801,PSEN2,presenilin 2,0.8180840856428299
ENSG00000130203,APOE,apolipoprotein E,0.7699520237898497
ENSG00000176884,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,0.7043366601565315
ENSG00000137642,SORL1,sortilin related receptor 1,0.6861184602782842
ENSG00000116032,GRIN3B,glutamate ionotropic receptor NMDA type subunit 3B,0.6827426189622511
ENSG00000164885,CDK5,cyclin dependent kinase 5,0.6802600483000536
ENSG00000137845,ADAM10,ADAM metallopeptidase domain 10,0.6627156408281735
ENSG00000087085,ACHE,acetylcholinesterase (Yt blood group),0.6408894927590979
ENSG00000273079,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B,0.6341731366460872
ENSG00000114200,BCHE,butyrylcholinesterase,0.6273566221895482
ENSG00000183454,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,0.6234275987159364
ENSG00000142319,SLC6A3,solute carrier family 6 member 3,0.6229177529789041
ENSG00000161509,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C,0.6199005360614525
ENSG00000105464,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D,0.6163481011370406
ENSG00000176749,CDK5R1,cyclin dependent kinase 5 regulatory subunit 1,0.6148264309102477
ENSG00000198785,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A,0.6108729890407243
ENSG00000159640,ACE,angiotensin I converting enzyme,0.6060773746886298
ENSG00000010704,HFE,homeostatic iron regulator,0.6036302798912275
ENSG00000138613,APH1B,aph-1B gamma-secretase subunit,0.5997189236702485
ENSG00000101224,CDC25B,cell division cycle 25B,0.5990850383690725
ENSG00000146904,EPHA1,EPH receptor A1,0.5926326948774134
ENSG00000113161,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,0.5852576208167861
ENSG00000203710,CR1,complement C3b/C4b receptor 1 (Knops blood group),0.583848124684305
ENSG00000105383,CD33,CD33 molecule,0.5781884763724476
ENSG00000118689,FOXO3,forkhead box O3,0.5746458304114456
ENSG00000064687,ABCA7,ATP binding cassette subfamily A member 7,0.565061255123546
ENSG00000274286,ADRA2B,adrenoceptor alpha 2B,0.563732831509632
ENSG00000030582,GRN,granulin precursor,0.5611414882652689
ENSG00000004779,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,0.5594688977486125
ENSG00000197746,PSAP,prosaposin,0.558857918205042
ENSG00000095970,TREM2,triggering receptor expressed on myeloid cells 2,0.5582475397334801
ENSG00000103546,SLC6A2,solute carrier family 6 member 2,0.5578343232634521
ENSG00000082701,GSK3B,glycogen synthase kinase 3 beta,0.5542549788984016
ENSG00000147883,CDKN2B,cyclin dependent kinase inhibitor 2B,0.5515481734265494
ENSG00000166311,SMPD1,sphingomyelin phosphodiesterase 1,0.5499323177364711
ENSG00000124762,CDKN1A,cyclin dependent kinase inhibitor 1A,0.5491528048661264
ENSG00000197943,PLCG2,phospholipase C gamma 2,0.5478063851344441
ENSG00000135446,CDK4,cyclin dependent kinase 4,0.5435791278711377
ENSG00000166851,PLK1,polo like kinase 1,0.5434751016621139
ENSG00000167601,AXL,AXL receptor tyrosine kinase,0.5360790923662045
ENSG00000168653,NDUFS5,NADH:ubiquinone oxidoreductase subunit S5,0.5360788988340297
ENSG00000120885,CLU,clusterin,0.5346469504612661
ENSG00000071051,NCK2,NCK adaptor protein 2,0.5342777825890229
ENSG00000119421,NDUFA8,NADH:ubiquinone oxidoreductase subunit A8,0.5318929863081228
ENSG00000110077,MS4A6A,membrane spanning 4-domains A6A,0.5313004143809933
ENSG00000178127,NDUFV2,NADH:ubiquinone oxidoreductase core subunit V2,0.5311165760884275
ENSG00000178999,AURKB,aurora kinase B,0.5287645007911302
ENSG00000023228,NDUFS1,NADH:ubiquinone oxidoreductase core subunit S1,0.5272829017873657
ENSG00000164167,LSM6,"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated",0.5268771472813407
ENSG00000073060,SCARB1,scavenger receptor class B member 1,0.5267500730564251
ENSG00000170312,CDK1,cyclin dependent kinase 1,0.5262885507265389
ENSG00000147889,CDKN2A,cyclin dependent kinase inhibitor 2A,0.5259450994372445
ENSG00000129757,CDKN1C,cyclin dependent kinase inhibitor 1C,0.5252437292155897
ENSG00000058729,RIOK2,RIO kinase 2,0.5244154452261425
ENSG00000100330,MTMR3,myotubularin related protein 3,0.524230955416648
ENSG00000198563,DDX39B,DExD-box helicase 39B,0.5223285039796727
ENSG00000147416,ATP6V1B2,ATPase H+ transporting V1 subunit B2,0.5216856023561478
ENSG00000010256,UQCRC1,ubiquinol-cytochrome c reductase core protein 1,0.5204943095474912
ENSG00000114573,ATP6V1A,ATPase H+ transporting V1 subunit A,0.5186969750063051
ENSG00000087586,AURKA,aurora kinase A,0.5178653969167712
ENSG00000136717,BIN1,bridging integrator 1,0.5167886518826988
ENSG00000158864,NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2,0.5149296150177934
ENSG00000005381,MPO,myeloperoxidase,0.513858098373038
ENSG00000165646,SLC18A2,solute carrier family 18 member A2,0.5121099132495064
ENSG00000139180,NDUFA9,NADH:ubiquinone oxidoreductase subunit A9,0.5113914577940954
ENSG00000164615,CAMLG,calcium modulating ligand,0.5105759902914685
ENSG00000131408,NR1H2,nuclear receptor subfamily 1 group H member 2,0.5087908967606237
ENSG00000103510,KAT8,lysine acetyltransferase 8,0.5070477224658749
ENSG00000115020,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing",0.5047111767826317
ENSG00000130294,KIF1A,kinesin family member 1A,0.5034704720071452
ENSG00000023516,AKAP11,A-kinase anchoring protein 11,0.5031569524318671
ENSG00000155097,ATP6V1C1,ATPase H+ transporting V1 subunit C1,0.5030956547632472
ENSG00000143374,TARS2,"threonyl-tRNA synthetase 2, mitochondrial",0.5030392466541774
ENSG00000120539,MASTL,microtubule associated serine/threonine kinase like,0.5030392466541774
ENSG00000113712,CSNK1A1,casein kinase 1 alpha 1,0.5027192720148205
ENSG00000167258,CDK12,cyclin dependent kinase 12,0.5016300431916646
ENSG00000099795,NDUFB7,NADH:ubiquinone oxidoreductase subunit B7,0.5010410714238798
ENSG00000134824,FADS2,fatty acid desaturase 2,0.5003205203718559
ENSG00000143393,PI4KB,phosphatidylinositol 4-kinase beta,0.4993421627252597
ENSG00000139505,MTMR6,myotubularin related protein 6,0.4976720716320659
ENSG00000141510,TP53,tumor protein p53,0.4971744362179955
ENSG00000180596,H2BC4,H2B clustered histone 4,0.4953245841496741
ENSG00000198793,MTOR,mechanistic target of rapamycin kinase,0.494974858666753
ENSG00000198087,CD2AP,CD2 associated protein,0.49264474536868336
ENSG00000114026,OGG1,8-oxoguanine DNA glycosylase,0.48877328985104185
ENSG00000165029,ABCA1,ATP binding cassette subfamily A member 1,0.4887031032240429
ENSG00000184160,ADRA2C,adrenoceptor alpha 2C,0.48861549329790044
ENSG00000164733,CTSB,cathepsin B,0.4879294600629267
ENSG00000176444,CLK2,CDC like kinase 2,0.48790588430610027
ENSG00000204386,NEU1,neuraminidase 1,0.48736081584069707
ENSG00000150594,ADRA2A,adrenoceptor alpha 2A,0.4865563526825908
ENSG00000196743,GM2A,ganglioside GM2 activator,0.48626745042189295
ENSG00000094755,GABRP,gamma-aminobutyric acid type A receptor subunit pi,0.48536839742595594
ENSG00000131238,PPT1,palmitoyl-protein thioesterase 1,0.4852053813292712
