gene,chembl_target_id,molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value
APP,CHEMBL2487,CHEMBL81260,CN(C)c1ccc(-c2cn3cc(Br)ccc3n2)cc1,Ki,10.3,nM,7.99
APP,CHEMBL2487,CHEMBL55380,CN(C)c1ccc(-c2nc3ccc(I)cc3s2)cc1,Ki,0.9,nM,9.05
APP,CHEMBL2487,CHEMBL78410,CNc1ccc(-c2cn3cc(C)ccc3n2)cc1,Ki,2000.0,nM,
APP,CHEMBL2487,CHEMBL81685,CNc1ccc(-c2cn3ccccc3n2)cc1,Ki,1000.0,nM,
APP,CHEMBL2487,CHEMBL78621,Cc1ccc2nc(-c3ccc(N(C)C)cc3)cn2c1,Ki,242.0,nM,6.62
APP,CHEMBL2487,CHEMBL312622,CN(C)c1ccc(-c2cn3ccccc3n2)cc1,Ki,2000.0,nM,
APP,CHEMBL2487,CHEMBL310444,CN(C)c1ccc(-c2nc3ccc(I)cn3c2I)cc1,Ki,2000.0,nM,
APP,CHEMBL2487,CHEMBL78765,Cc1ccc2nc(-c3ccc(Br)cc3)cn2c1,Ki,638.0,nM,6.20
APP,CHEMBL2487,CHEMBL309920,CN(C)c1ccc2nc(-c3ccc(Br)cc3)cn2c1,Ki,339.0,nM,6.47
APP,CHEMBL2487,CHEMBL78012,CN(C)c1ccc(-c2cn3cc(I)ccc3n2)cc1,Ki,15.0,nM,7.82
APP,CHEMBL2487,CHEMBL311035,CN(C)c1ccc(-c2nc3ccccn3c2I)cc1,Ki,2000.0,nM,
APP,CHEMBL2487,CHEMBL311039,CC12CCC(C1)C(C)(C)C2NS(=O)(=O)c1ccc(F)cc1,IC50,5000.0,nM,5.30
APP,CHEMBL2487,CHEMBL450926,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1cccs1,IC50,2700.0,nM,5.57
APP,CHEMBL2487,CHEMBL310242,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(F)cc1,IC50,1800.0,nM,5.75
APP,CHEMBL2487,CHEMBL74874,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Cl)cc1,IC50,11000.0,nM,4.96
APP,CHEMBL2487,CHEMBL75183,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Br)cc1,IC50,10000.0,nM,5.00
APP,CHEMBL2487,CHEMBL76112,O=C(O)c1cc(/C=C\c2ccc(/C=C\c3ccc(O)c(C(=O)O)c3)c(Br)c2)ccc1O,Ki,0.13,nM,9.89
APP,CHEMBL2487,CHEMBL74348,O=C(O)c1cc(/C=C\c2ccc(/C=C/c3ccc(O)c(C(=O)O)c3)c(Br)c2)ccc1O,Ki,0.27,nM,9.57
APP,CHEMBL2487,CHEMBL305634,O=C(O)c1cc(/C=C\c2ccc(/C=C/c3ccc(O)c(C(=O)O)c3)cc2Br)ccc1O,Ki,0.19,nM,9.72
APP,CHEMBL2487,CHEMBL300172,O=C(O)c1cc(/N=N/c2ccc(-c3ccc(/N=N/c4ccc(O)c(C(=O)O)c4)cc3)cc2)ccc1O,Ki,0.14,nM,9.85
APP,CHEMBL2487,CHEMBL424,O=C(O)c1ccccc1O,Ki,1800.0,nM,
APP,CHEMBL2487,CHEMBL74704,O=C(O)c1cc(/C=C/c2ccc(/C=C/c3ccc(O)c(C(=O)O)c3)c(Br)c2)ccc1O,Ki,0.11,nM,9.96
APP,CHEMBL2487,CHEMBL55380,CN(C)c1ccc(-c2nc3ccc(I)cc3s2)cc1,Ki,2000.0,nM,
APP,CHEMBL2487,CHEMBL55380,CN(C)c1ccc(-c2nc3ccc(I)cc3s2)cc1,Ki,5000.0,nM,
APP,CHEMBL2487,CHEMBL55380,CN(C)c1ccc(-c2nc3ccc(I)cc3s2)cc1,Ki,2.2,nM,8.66
APP,CHEMBL2487,CHEMBL58092,CN1CCN(c2ccc(-c3nc4ccc(I)cc4s3)cc2)CC1,Ki,2000.0,nM,
APP,CHEMBL2487,CHEMBL58092,CN1CCN(c2ccc(-c3nc4ccc(I)cc4s3)cc2)CC1,Ki,5.4,nM,8.27
APP,CHEMBL2487,CHEMBL58092,CN1CCN(c2ccc(-c3nc4ccc(I)cc4s3)cc2)CC1,Ki,6.4,nM,8.19
APP,CHEMBL2487,CHEMBL292910,COc1ccc(/C=C/c2ccc(/C=C/c3ccc(OC)c(C(=O)O)c3)c(I)c2)cc1C(=O)O,Ki,0.17,nM,9.77
APP,CHEMBL2487,CHEMBL292910,COc1ccc(/C=C/c2ccc(/C=C/c3ccc(OC)c(C(=O)O)c3)c(I)c2)cc1C(=O)O,Ki,1000.0,nM,
APP,CHEMBL2487,CHEMBL292910,COc1ccc(/C=C/c2ccc(/C=C/c3ccc(OC)c(C(=O)O)c3)c(I)c2)cc1C(=O)O,Ki,0.8,nM,9.10
APP,CHEMBL2487,CHEMBL300172,O=C(O)c1cc(/N=N/c2ccc(-c3ccc(/N=N/c4ccc(O)c(C(=O)O)c4)cc3)cc2)ccc1O,Ki,1000.0,nM,
APP,CHEMBL2487,CHEMBL300172,O=C(O)c1cc(/N=N/c2ccc(-c3ccc(/N=N/c4ccc(O)c(C(=O)O)c4)cc3)cc2)ccc1O,Ki,0.4,nM,9.40
APP,CHEMBL2487,CHEMBL300172,O=C(O)c1cc(/N=N/c2ccc(-c3ccc(/N=N/c4ccc(O)c(C(=O)O)c4)cc3)cc2)ccc1O,Ki,2000.0,nM,
