drug_name,molecule_chembl_id,gene,chembl_target_id,predicted_probability
BENAZEPRIL HYDROCHLORIDE,CHEMBL1694,ACE,CHEMBL1808,0.98
BENAZEPRIL,CHEMBL838,ACHE,CHEMBL220,0.98
SERTRALINE HYDROCHLORIDE,CHEMBL1709,SLC6A3,CHEMBL238,0.98
ENALAPRILAT,CHEMBL3989406,ACE,CHEMBL1808,0.9766666666666668
LISINOPRIL,CHEMBL419213,ACE,CHEMBL1808,0.9733333333333334
ENALAPRILAT ANHYDROUS,CHEMBL577,APOE,CHEMBL4549,0.97
LISINOPRIL ANHYDROUS,CHEMBL1237,CDK5,CHEMBL6067090,0.9666666666666668
TRANDOLAPRIL,CHEMBL1519,SLC6A3,CHEMBL238,0.9641666666666666
RAMIPRIL,CHEMBL1168,SLC6A3,CHEMBL238,0.9608333333333332
SERTRALINE,CHEMBL809,APOE,CHEMBL4549,0.96
