molecule_chembl_id,chembl_target_id,pchembl_value,interaction_label,canonical_smiles,gene,TARGET_ACE,TARGET_ACHE,TARGET_ADAM10,TARGET_APOE,TARGET_APP,TARGET_BCHE,TARGET_CDK5,TARGET_CDK5R1,TARGET_GRIN2A,TARGET_GRIN2B,TARGET_GRIN2C,TARGET_GRIN2D,TARGET_GRIN3B,TARGET_PSEN1,TARGET_PSEN2,TARGET_SLC6A3
CHEMBL100063,CHEMBL1808,8.62,1,CCCCCCCC[C@H](N[C@@H](CC)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O)C(=O)O,ACE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL100366,CHEMBL220,6.11,1,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C=O)C12,ACHE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL100413,CHEMBL1808,8.77,1,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C(=O)N(Cc2ccccc2)C[C@H]1C(=O)O,ACE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL100826,CHEMBL1808,8.64,1,CC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C(=O)N(Cc2ccccc2)C[C@H]1C(=O)O,ACE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL101250,CHEMBL238,6.41,1,Cc1ccc([C@H]2C[C@H]3CCC4C2[C@](C)(O)CN43)cc1,SLC6A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CHEMBL101360,CHEMBL1808,8.8,1,CCCCCCCC[C@H](N[C@@H](C)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O)C(=O)O,ACE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL101409,CHEMBL1808,7.96,1,C[C@H](N[C@@H](Cc1ccccc1)C(=O)O)C(=O)N1C(=O)N(Cc2ccccc2)C[C@H]1C(=O)O,ACE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL101469,CHEMBL1808,8.82,1,CCCCCCCC[C@H](N[C@@H](C)C(=O)N1C(=O)N(Cc2ccccc2)C[C@H]1C(=O)O)C(=O)O,ACE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL101905,CHEMBL238,7.17,1,C=C1CN2C3CC[C@@H]2C[C@H](c2ccc(C)cc2)C13,SLC6A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CHEMBL101986,CHEMBL238,6.17,1,COC(=O)c1ccccc1-c1ccc(Cl)cc1,SLC6A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
