drug_name,molecule_chembl_id,gene,chembl_target_id,predicted_probability
FLORBETABEN,CHEMBL1908906,APP,CHEMBL2487,1.0
FLORBETAPIR,CHEMBL1908919,APP,CHEMBL2487,0.9933333333333333
TACRINE,CHEMBL95,GRIN3B,CHEMBL6066548,0.99
TACRINE HYDROCHLORIDE,CHEMBL1677,GRIN2D,CHEMBL2591,0.9866666666666667
IOFLUPANE,CHEMBL1945778,SLC6A3,CHEMBL238,0.9805555555555554
BENAZEPRIL HYDROCHLORIDE,CHEMBL1694,ACE,CHEMBL1808,0.98
BENAZEPRIL,CHEMBL838,ACHE,CHEMBL220,0.98
SERTRALINE HYDROCHLORIDE,CHEMBL1709,SLC6A3,CHEMBL238,0.98
FLUTEMETAMOL F 18,CHEMBL2042122,SLC6A3,CHEMBL238,0.9766666666666667
FLUTEMETAMOL,CHEMBL579205,SLC6A3,CHEMBL238,0.9766666666666667
ENALAPRILAT,CHEMBL3989406,ACE,CHEMBL1808,0.9766666666666667
LISINOPRIL,CHEMBL419213,ACE,CHEMBL1808,0.9733333333333334
IOFLUPANE I 123,CHEMBL3989517,SLC6A3,CHEMBL238,0.9705555555555554
ENALAPRILAT ANHYDROUS,CHEMBL577,APOE,CHEMBL4549,0.97
LISINOPRIL ANHYDROUS,CHEMBL1237,CDK5,CHEMBL6067090,0.9666666666666667
TRANDOLAPRIL,CHEMBL1519,SLC6A3,CHEMBL238,0.9641666666666666
RAMIPRIL,CHEMBL1168,SLC6A3,CHEMBL238,0.9608333333333333
SERTRALINE,CHEMBL809,APOE,CHEMBL4549,0.96
FLORBETAPIR F 18,CHEMBL1774461,SLC6A3,CHEMBL238,0.96
FLORBETABEN F18,CHEMBL566752,SLC6A3,CHEMBL238,0.9533333333333334
