drug_name,molecule_chembl_id,gene,predicted_probability,pchembl_value,max_phase
Unknown,CHEMBL143535,APOE,1.0,7.92,
Unknown,CHEMBL142733,APOE,1.0,8.66,
Unknown,CHEMBL142616,APOE,1.0,7.8,
Unknown,CHEMBL142450,APOE,1.0,9.15,
Unknown,CHEMBL142272,APOE,1.0,8.8,
Unknown,CHEMBL143610,APOE,1.0,6.92,
Unknown,CHEMBL143647,APOE,1.0,6.92,
Unknown,CHEMBL434703,APOE,1.0,7.38,
Unknown,CHEMBL143821,APOE,1.0,8.08,
Unknown,CHEMBL359248,APOE,1.0,8.19,
Unknown,CHEMBL341974,APOE,1.0,8.62,
Unknown,CHEMBL5782535,GRIN3B,0.999430894308943,6.06,
Unknown,CHEMBL121027,SLC6A3,0.8301781267395382,7.52,
Unknown,CHEMBL130593,SLC6A3,0.8301781267395382,6.66,
Unknown,CHEMBL130477,SLC6A3,0.8301781267395382,8.77,
DESIPRAMINE,CHEMBL72,SLC6A3,0.8301781267395382,9.31,4.0
Unknown,CHEMBL186242,SLC6A3,0.8301781267395382,8.35,
Unknown,CHEMBL185792,SLC6A3,0.8301781267395382,6.62,
Unknown,CHEMBL185608,SLC6A3,0.8301781267395382,8.3,
Unknown,CHEMBL416409,SLC6A3,0.8301781267395382,9.15,
